joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,axe,,joint,
roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,
roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,
roll,z,,roll,y,,roll,x,,pitch,y,,pitch,x,,pitch,z,,pris,x,,pris,z,,pris,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,
roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,,,,,,,,,,,
roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,,,,,,,,,,,
roll,y,,pitch,y,,pris,z,,pris,y,,pitch,z,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,
roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,roll,
pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,pris,
roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,roll,
pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,y,,pitch,
roll,z,,roll,y,,roll,x,,pitch,y,,pitch,x,,pitch,z,,pris,x,,pris,z,,pris,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,
roll,y,,roll,y,,roll,y,,roll,y,,roll,y,,,,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,pris,z,,,,,,,,,,,,
roll,z,,roll,y,,pris,y,,pitch,y,,pitch,z,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,joint ,axe,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,roll,z,,,,,,,,,
pris,z,,pris,z,,pris,z,,pris,z,,,,,pris,z,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,pris,y,,,,,,,,,
roll,x,,roll,x,,roll,x,,roll,x,,,,,roll,x,,,,,,,,,
pris,y,,roll,y,,pris,z,,pitch,y,,,,,pitch,z,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe
