conf,median,mean
roll_z_0_1pitch_y_0_1pitch_z_0_7roll_z_0_4,0.786,0.791
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_x_0_7,0.76,0.758
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_1pitch_x_0_4,0.987,0.981
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_x_0_4pitch_z_0_1,0.922,0.92
roll_z_0_1pitch_y_0_4roll_y_0_1pitch_y_0_4roll_z_0_4,0.994,0.994
roll_z_0_1pitch_y_0_4roll_x_0_4roll_y_0_7roll_y_0_7,0.914,0.921
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_z_0_1pris_x_0_4,0.993,0.988
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4pitch_z_0_1,0.99,0.978
roll_z_0_1pitch_y_0_1pitch_z_0_4roll_x_0_4roll_y_0_4,0.989,0.981
roll_z_0_1roll_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_4,0.99,0.978
roll_z_0_1pitch_y_0_4pitch_x_0_1roll_x_0_4roll_y_0_4,0.934,0.914
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1roll_x_0_4,0.992,0.991
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_x_0_1,0.885,0.858
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1roll_x_0_4roll_y_0_7,0.624,0.603
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_x_0_1pitch_y_0_1pitch_x_0_7,0.371,0.375
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_7roll_y_0_7,0.345,0.381
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1roll_x_0_4roll_y_0_7,0.326,0.328
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_x_0_1,0.816,0.809
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_x_0_1pitch_y_0_1pitch_x_0_7,0.366,0.372
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_7roll_y_0_7,0.328,0.33
conf,median,mean
roll_z_0_1pitch_y_0_1pitch_z_0_7roll_z_0_4,0.786,0.791
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_x_0_7,0.76,0.758
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_1pitch_x_0_4,0.987,0.981
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_x_0_4pitch_z_0_1,0.922,0.92
roll_z_0_1pitch_y_0_4roll_y_0_1pitch_y_0_4roll_z_0_4,0.994,0.994
roll_z_0_1pitch_y_0_4roll_x_0_4roll_y_0_7roll_y_0_7,0.914,0.921
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_z_0_1pris_x_0_4,0.993,0.988
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4pitch_z_0_1,0.99,0.978
roll_z_0_1pitch_y_0_1pitch_z_0_4roll_x_0_4roll_y_0_4,0.989,0.981
roll_z_0_1roll_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_4,0.99,0.978
roll_z_0_1pitch_y_0_4pitch_x_0_1roll_x_0_4roll_y_0_4,0.934,0.914
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1roll_x_0_4,0.992,0.991
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_x_0_1,0.885,0.858
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1roll_x_0_4roll_y_0_7,0.624,0.603
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_x_0_1pitch_y_0_1pitch_x_0_7,0.371,0.375
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_7roll_y_0_7,0.345,0.381
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_1roll_x_0_4roll_y_0_7,0.326,0.328
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_x_0_1,0.816,0.809
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_x_0_1pitch_y_0_1pitch_x_0_7,0.366,0.372
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_7roll_y_0_7,0.328,0.33
