name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_4pitch_x_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.4__0.1__0.7__0.4_,z_y__x__y__y_,5,0.0,4.34,0.111,0.0,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_7,roll_roll__pitch__roll__roll_,0.1_0.4__0.1__0.4__0.7_,z_y__y__y__y_,5,0.001,2.64,0.119,0.0,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.7__0.4_,z_y__x__x__z_,5,0.0,3.57,0.122,0.0,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.7__0.4_,z_y__x__y__z_,5,0.0,2.47,0.123,0.0,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_1pitch_x_0_7,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.1__0.7_,z_y__x__y__x_,5,0.0,2.98,0.124,0.0,1
roll_z_0_1pitch_y_0_1pitch_x_0_7roll_z_0_7roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.1__0.7__0.7__0.4_,z_y__x__z__y_,5,0.0,2.98,0.124,0.0,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_z_0_7roll_z_0_4,roll_roll__pitch__pitch__roll_,0.1_0.4__0.7__0.7__0.4_,z_y__y__z__z_,5,0.0,4.02,0.124,0.0,1
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_4,roll_pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4_,z_y__y__y__y_,5,0.0,2.57,0.125,0.0,1
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_x_0_1roll_y_0_1,roll_pitch__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.1_,z_y__z__x__y_,5,0.0,3.26,0.125,0.0,1
roll_z_0_1pitch_y_0_7roll_x_0_7pitch_y_0_7roll_z_0_4,roll_pitch__roll__pitch__roll_,0.1_0.7__0.7__0.7__0.4_,z_y__x__y__z_,5,0.0,3.35,0.125,0.0,1
roll_z_0_1roll_y_0_7roll_y_0_4roll_y_0_1pitch_y_0_4,roll_roll__roll__roll__pitch_,0.1_0.7__0.4__0.1__0.4_,z_y__y__y__y_,5,0.0,4.07,0.165,0.0,1
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_y_0_4pitch_z_0_4,roll_pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.4__0.4_,z_y__z__y__z_,5,0.0,2.43,0.17,0.0,1
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_7roll_y_0_1,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.7__0.1_,z_y__x__y__y_,5,0.0,3.15,0.172,0.0,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.7_,z_y__y__z__y_,5,0.002,2.99,0.176,0.0,1
roll_z_0_1roll_y_0_1pris_y_0_7pitch_x_0_1roll_z_0_4,roll_roll__pris__pitch__roll_,0.1_0.1__0.7__0.1__0.4_,z_y__y__x__z_,5,0.001,2.16,0.177,0.0,1
roll_z_0_1pitch_y_0_1roll_y_0_4roll_y_0_4roll_y_0_7,roll_pitch__roll__roll__roll_,0.1_0.1__0.4__0.4__0.7_,z_y__y__y__y_,5,0.001,2.42,0.178,0.0,1
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_x_0_4pitch_y_0_7,roll_pitch__pitch__roll__pitch_,0.1_0.4__0.4__0.4__0.7_,z_y__z__x__y_,5,0.0,3.45,0.179,0.0,1
roll_z_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1roll_y_0_1,roll_pitch__roll__pitch__roll_,0.1_0.1__0.7__0.1__0.1_,z_y__x__y__y_,5,0.0,3.4,0.179,0.0,1
