name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_7roll_z_0_4pris_z_0_7,roll_pitch__pitch__pitch__roll__pris_,0.1_0.7__0.7__0.7__0.4__0.7_,z_y__y__z__z__z_,6,0.19,2.12,0.346,0.059,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_7pitch_z_0_1roll_y_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.7__0.1__0.1_,z_y__z__y__z__y_,6,0.21,2.43,0.256,0.069,1
roll_z_0_1pitch_y_0_7pitch_y_0_4roll_z_0_7pitch_y_0_7roll_x_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.4__0.7__0.7__0.7_,z_y__y__z__y__x_,6,0.211,2.27,0.235,0.067,1
roll_z_0_1roll_y_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1roll_z_0_7,roll_roll__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.7__0.1__0.7_,z_y__y__x__y__z_,6,0.198,2.02,0.242,0.065,1
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_x_0_1pitch_z_0_7roll_y_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.7_,z_y__y__x__z__y_,6,0.177,3.14,0.053,0.056,1
roll_z_0_1pitch_y_0_7pris_x_0_4pitch_y_0_1roll_y_0_1pris_z_0_7,roll_pitch__pris__pitch__roll__pris_,0.1_0.7__0.4__0.1__0.1__0.7_,z_y__x__y__y__z_,6,0.063,1.89,0.474,0.012,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_4roll_x_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.4__0.7_,z_y__x__x__x__y_,6,0.203,2.42,0.254,0.066,1
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_1pitch_x_0_4pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__x__z__x__x_,6,0.149,2.57,0.122,0.063,1
roll_z_0_1pitch_y_0_1pitch_y_0_1roll_x_0_4roll_y_0_7pitch_y_0_7,roll_pitch__pitch__roll__roll__pitch_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__y__x__y__y_,6,0.096,3.27,0.125,0.035,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_x_0_7pitch_y_0_4pris_x_0_4,roll_roll__pitch__pitch__pitch__pris_,0.1_0.7__0.1__0.7__0.4__0.4_,z_y__y__x__y__x_,6,0.029,3.18,0.232,0.039,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_7roll_y_0_4pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.7__0.7__0.4__0.1_,z_y__y__x__y__y_,6,0.212,2.26,0.251,0.061,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_7pitch_z_0_1roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.7__0.1__0.1_,z_y__x__y__z__y_,6,0.196,2.51,0.252,0.059,1
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_x_0_4pitch_z_0_1pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.4__0.1__0.4_,z_y__y__x__z__z_,6,0.103,3.82,0.125,0.041,1
roll_z_0_1pitch_y_0_7pitch_y_0_1roll_x_0_4roll_y_0_7pitch_y_0_7,roll_pitch__pitch__roll__roll__pitch_,0.1_0.7__0.1__0.4__0.7__0.7_,z_y__y__x__y__y_,6,0.149,3.12,0.27,0.062,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_1pitch_y_0_4roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__x__y__z_,6,0.127,2.62,0.264,0.059,1
