name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_1pitch_y_0_1roll_x_0_7pitch_y_0_7roll_z_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.7__0.7__0.1_,z_y__y__x__y__z_,6,0.216,4.79,0.0,,1
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_x_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__y__x__y__y_,6,0.162,3.36,0.0,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_1pitch_x_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.7_,z_y__y__x__x__x_,6,0.027,4.05,0.001,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_1pitch_x_0_7pitch_z_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.7_,z_y__y__x__x__z_,6,0.135,4.72,0.001,,1
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4pitch_y_0_1roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.1__0.1_,z_y__x__y__y__x_,6,0.057,2.59,0.001,,1
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_7pitch_x_0_7roll_x_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.7__0.7__0.7_,z_y__y__x__x__x_,6,0.399,2.5,0.001,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_4roll_z_0_7pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__y__x__z__y_,6,0.283,3.4,0.001,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7roll_x_0_7pitch_y_0_7roll_y_0_1,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.7__0.7__0.7__0.1_,z_y__y__x__y__y_,6,0.221,3.0,0.001,,1
roll_z_0_1pitch_y_0_1pitch_y_0_4roll_x_0_7roll_y_0_1roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.4__0.7__0.1__0.4_,z_y__y__x__y__y_,6,0.142,3.76,0.001,,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_4pitch_y_0_7roll_x_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__y__y__y__x_,6,0.072,2.89,0.001,,1
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_4roll_x_0_4roll_y_0_4,roll_pitch__roll__pitch__roll__roll_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__y__x__y_,6,0.076,2.38,0.001,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1pitch_y_0_7pitch_x_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.7__0.1_,z_y__y__y__y__x_,6,0.184,2.24,0.001,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_7roll_z_0_7roll_y_0_7,roll_roll__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.7__0.7__0.7_,z_y__y__x__z__y_,6,0.142,4.55,0.001,,1
roll_z_0_1roll_y_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1roll_x_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.1__0.7__0.1__0.1__0.4_,z_y__y__y__y__x_,6,0.15,2.23,0.001,,1
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_7pitch_y_0_1roll_z_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.1__0.4_,z_y__y__y__y__z_,6,0.032,2.5,0.001,,1
