name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_0_7pitch_y_0_7roll_y_0_4,roll_roll__pitch__roll_,0.1_0.7__0.7__0.4_,z_y__y__y_,4,0.098,4.72,0.296,0.048
roll_z_0_1roll_y_0_7pitch_y_0_7roll_y_0_1,roll_roll__pitch__roll_,0.1_0.7__0.7__0.1_,z_y__y__y_,4,0.053,4.62,0.225,0.048
roll_z_0_1roll_y_0_7pitch_y_0_4roll_y_0_7,roll_roll__pitch__roll_,0.1_0.7__0.4__0.7_,z_y__y__y_,4,0.07,5.68,0.216,0.048
roll_z_0_1roll_y_0_7pitch_y_0_4roll_y_0_4,roll_roll__pitch__roll_,0.1_0.7__0.4__0.4_,z_y__y__y_,4,0.101,4.73,0.278,0.045
roll_z_0_1roll_y_0_7pitch_y_0_4roll_y_0_1,roll_roll__pitch__roll_,0.1_0.7__0.4__0.1_,z_y__y__y_,4,0.098,4.72,0.293,0.053
roll_z_0_1roll_y_0_4pitch_y_1_0roll_y_1_0,roll_roll__pitch__roll_,0.1_0.4__1.0__1.0_,z_y__y__y_,4,0.101,5.29,0.294,0.053
roll_z_0_1roll_y_0_4pitch_y_1_0roll_y_0_1,roll_roll__pitch__roll_,0.1_0.4__1.0__0.1_,z_y__y__y_,4,0.06,4.71,0.294,0.047
roll_z_0_1roll_y_0_4pitch_y_0_7roll_y_0_4,roll_roll__pitch__roll_,0.1_0.4__0.7__0.4_,z_y__y__y_,4,0.046,4.57,0.285,0.047
roll_z_0_1roll_y_0_4pitch_y_0_4roll_y_0_7,roll_roll__pitch__roll_,0.1_0.4__0.4__0.7_,z_y__y__y_,4,0.049,5.03,0.206,0.046
roll_z_0_1roll_y_0_4pitch_y_0_4roll_y_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.071,5.88,0.222,0.051
roll_z_0_1roll_y_0_1pitch_y_1_0roll_y_0_1,roll_roll__pitch__roll_,0.1_0.1__1.0__0.1_,z_y__y__y_,4,0.07,5.7,0.213,0.049
roll_z_0_1roll_y_0_1pitch_y_0_7roll_y_0_7,roll_roll__pitch__roll_,0.1_0.1__0.7__0.7_,z_y__y__y_,4,0.1,5.02,0.285,0.049
roll_z_0_1roll_y_1_0pitch_y_0_4pris_z_1_0,roll_roll__pitch__pris_,0.1_1.0__0.4__1.0_,z_y__y__z_,4,0.098,5.0,0.033,0.05
roll_z_0_1roll_y_1_0pitch_y_0_1pris_z_1_0,roll_roll__pitch__pris_,0.1_1.0__0.1__1.0_,z_y__y__z_,4,0.098,4.72,0.033,0.053
roll_z_0_1roll_y_0_7pitch_y_0_1pris_z_0_4,roll_roll__pitch__pris_,0.1_0.7__0.1__0.4_,z_y__y__z_,4,0.1,4.82,0.08,0.051
roll_z_0_1roll_y_0_4pitch_y_1_0pris_z_1_0,roll_roll__pitch__pris_,0.1_0.4__1.0__1.0_,z_y__y__z_,4,0.098,5.2,0.035,0.051
