name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_7roll_z_0_4pris_z_0_7,roll_pitch__pitch__pitch__roll__pris_,0.1_0.7__0.7__0.7__0.4__0.7_,z_y__y__z__z__z_,6,0.19,2.12,4.026,0.093
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_7pitch_z_0_1roll_y_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.7__0.1__0.1_,z_y__z__y__z__y_,6,0.21,2.43,3.846,0.122
roll_z_0_1pitch_y_0_7pitch_y_0_4roll_z_0_7pitch_y_0_7roll_x_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.4__0.7__0.7__0.7_,z_y__y__z__y__x_,6,0.2,2.27,3.95,0.103
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_x_0_4pitch_y_0_1roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.1__0.4_,z_y__x__x__y__x_,6,0.194,2.31,3.904,0.112
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_x_0_7roll_z_0_4roll_y_0_1,roll_pitch__pitch__pitch__roll__roll_,0.1_0.1__0.4__0.7__0.4__0.1_,z_y__x__x__z__y_,6,0.189,2.28,4.076,0.09
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_z_0_4pitch_y_0_1pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.4__0.1__0.4_,z_y__x__z__y__y_,6,0.19,2.3,3.943,0.112
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_1roll_x_0_4roll_y_0_4,roll_roll__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.1__0.4__0.4_,z_y__y__y__x__y_,6,0.193,1.91,3.851,0.112
roll_z_0_1pitch_y_0_7pitch_y_0_1pitch_y_0_7pitch_z_0_1roll_y_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.7__0.1__0.7_,z_y__y__y__z__y_,6,0.199,2.32,3.884,0.119
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_1pitch_x_0_4pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__x__z__x__x_,6,0.149,2.57,4.819,0.108
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_x_0_4roll_x_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.4__0.7_,z_y__x__x__x__y_,6,0.203,2.42,3.904,0.112
roll_z_0_1pitch_y_0_1pitch_y_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__y__y__y__y_,6,0.193,2.42,4.006,0.096
roll_z_0_1pitch_y_0_1pitch_y_0_1roll_x_0_4roll_y_0_7pitch_y_0_7,roll_pitch__pitch__roll__roll__pitch_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__y__x__y__y_,6,0.031,3.27,4.935,0.053
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_1roll_y_0_4pitch_y_0_7,roll_roll__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__y__y__y_,6,0.199,2.21,3.937,0.103
roll_z_0_1pitch_y_0_1pitch_x_0_4pitch_z_0_7roll_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.7__0.4__0.7_,z_y__x__z__y__y_,6,0.194,2.37,4.035,0.108
