name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.098,2.68,0.008,0.31
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.106,2.38,0.011,0.285
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.1,2.3,0.025,0.292
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.09,2.56,0.016,0.281
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.077,2.24,0.027,0.242
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__x_,4,0.097,2.66,0.021,0.274
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__x_,4,0.105,2.26,0.022,0.294
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__z_,4,0.108,2.11,0.015,0.283
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.073,3.18,0.017,0.214
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.088,2.18,0.005,0.296
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.101,2.1,0.005,0.291
roll_z_0_1pitch_y_0_4roll_x_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.1,2.29,0.019,0.277
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.106,2.17,0.011,0.278
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.075,2.78,0.007,0.276
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.073,2.5,0.01,0.262
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.077,3.1,0.009,0.304
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.107,2.55,0.008,0.293
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.103,2.34,0.006,0.291
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.09,2.21,0.016,0.331
roll_z_0_1pitch_y_0_4roll_z_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.086,2.41,0.006,0.278
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.076,2.56,0.012,0.269
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.105,2.81,0.011,0.292
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4,roll_roll__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.103,2.55,0.008,0.283
roll_z_0_1roll_y_0_4roll_y_0_4roll_y_0_4,roll_roll__roll__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.11,2.0,0.005,0.298
roll_z_0_1roll_y_0_4pitch_y_0_4roll_z_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.098,2.48,0.017,0.292
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.111,2.72,0.02,0.288
roll_z_0_1roll_y_0_4pitch_y_0_4roll_y_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.082,2.36,0.03,0.236
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.075,2.72,0.008,0.273
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__z_,4,0.079,2.76,0.022,0.296
roll_z_0_1pitch_y_0_4pitch_z_0_4pris_x_0_4,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.085,2.97,0.013,0.255
roll_z_0_1roll_y_0_4pitch_y_0_4pris_x_0_4,roll_roll__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.107,1.8,0.052,0.08
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.041,2.56,0.017,0.27
roll_z_0_1pris_y_0_4pitch_y_0_4pitch_y_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.047,2.06,0.026,0.036
roll_z_0_1pris_y_0_4roll_y_0_4pitch_y_0_4,roll_pris__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.028,2.02,0.038,0.08
roll_z_0_1pris_y_0_4pitch_z_0_4roll_z_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.038,1.91,0.016,0.08
roll_z_0_1pris_y_0_4pitch_z_0_4pitch_z_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.01,1.98,0.011,0.061
roll_z_0_1pris_y_0_4pitch_z_0_4roll_y_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.016,2.32,0.004,0.044
roll_z_0_1pitch_y_0_4pitch_x_0_4pris_y_0_4,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.038,2.94,0.026,0.08
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.108,1.94,0.02,0.297
roll_z_0_1roll_y_0_4pitch_y_0_4roll_x_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.111,2.75,0.022,0.3
roll_z_0_1pris_y_0_4pitch_z_0_4roll_x_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.02,2.08,0.027,0.08
roll_z_0_1pris_y_0_4pitch_z_0_4pitch_y_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.05,2.48,0.036,0.053
roll_z_0_1pitch_y_0_4roll_z_0_4pris_z_0_4,roll_pitch__roll__pris_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.106,1.82,0.046,0.08
roll_z_0_1pris_y_0_4pitch_y_0_4roll_z_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.022,2.24,0.025,0.018
