name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.4_,z_y__y__y__z__x_,6,0.224,2.4,0.068,0.256
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4pitch_y_0_4roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4__0.1_,z_y__y__y__y__x_,6,0.195,2.02,0.06,0.231
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_1,roll_roll__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.1__0.1_,z_y__y__y__y__z_,6,0.192,1.84,0.064,0.254
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1pitch_z_0_4pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__y__x__z__z_,6,0.084,3.72,0.035,0.05
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4pitch_y_0_1,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.4__0.4__0.1_,z_y__y__y__z__y_,6,0.21,1.96,0.067,0.268
roll_z_0_1roll_y_0_1roll_y_0_1roll_y_0_4pitch_y_0_4roll_z_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.1__0.1__0.4__0.4__0.1_,z_y__y__y__y__z_,6,0.199,1.85,0.06,0.259
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_1pitch_x_0_4pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__y__z__x__z_,6,0.269,2.78,0.078,0.26
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_z_0_4pitch_y_0_4roll_y_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.4__0.4__0.1_,z_y__y__z__y__y_,6,0.2,2.45,0.061,0.262
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1pitch_y_0_4pitch_z_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.4__0.1_,z_y__y__y__y__z_,6,0.188,1.85,0.063,0.263
roll_z_0_1roll_y_0_4pitch_y_0_4roll_x_0_1roll_y_0_4pitch_y_0_1,roll_roll__pitch__roll__roll__pitch_,0.1_0.4__0.4__0.1__0.4__0.1_,z_y__y__x__y__y_,6,0.202,1.88,0.069,0.268
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_4pitch_z_0_4pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__y__z__z__z_,6,0.189,2.31,0.061,0.27
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1pitch_x_0_4roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.4__0.4_,z_y__y__y__x__z_,6,0.057,3.06,0.04,0.27
roll_z_0_1roll_y_0_4pris_y_0_1pitch_x_0_4pitch_x_0_4pris_z_0_1,roll_roll__pris__pitch__pitch__pris_,0.1_0.4__0.1__0.4__0.4__0.1_,z_y__y__x__x__z_,6,0.213,1.86,0.067,0.26
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4pitch_y_0_1roll_z_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.1__0.4_,z_y__y__y__y__z_,6,0.154,2.06,0.056,0.26
roll_z_0_1roll_y_0_4pitch_y_0_4roll_y_0_1pitch_y_0_1pitch_y_0_4,roll_roll__pitch__roll__pitch__pitch_,0.1_0.4__0.4__0.1__0.1__0.4_,z_y__y__y__y__y_,6,0.159,2.47,0.05,0.243
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_1pitch_x_0_4roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.4__0.4_,z_y__y__y__x__z_,6,0.197,2.92,0.065,0.08
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4pitch_z_0_4pitch_y_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__y__y__z__y_,6,0.194,2.11,0.05,0.264
roll_z_0_1roll_y_0_1pitch_y_0_4roll_y_0_1roll_y_0_4pitch_y_0_1,roll_roll__pitch__roll__roll__pitch_,0.1_0.1__0.4__0.1__0.4__0.1_,z_y__y__y__y__y_,6,0.204,1.8,0.067,0.252
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_1roll_y_0_4pitch_y_0_4,roll_roll__roll__pitch__roll__pitch_,0.1_0.1__0.1__0.1__0.4__0.4_,z_y__y__y__y__y_,6,0.205,2.01,0.064,0.27
roll_z_0_1roll_y_0_1pitch_y_0_4roll_z_0_4pitch_y_0_4pitch_x_0_4,roll_roll__pitch__roll__pitch__pitch_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__z__y__x_,6,0.189,2.15,0.057,0.268
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_1pitch_x_0_1pitch_x_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.1__0.4_,z_y__y__z__x__x_,6,0.154,1.95,0.05,0.24
roll_z_0_1pris_z_0_4pitch_y_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4,roll_pris__pitch__roll__pitch__pitch_,0.1_0.4__0.1__0.4__0.4__0.4_,z_z__y__y__y__y_,6,0.043,3.77,0.033,0.229
roll_z_0_1roll_y_0_4roll_y_0_1roll_y_0_4pitch_y_0_4roll_x_0_4,roll_roll__roll__roll__pitch__roll_,0.1_0.4__0.1__0.4__0.4__0.4_,z_y__y__y__y__x_,6,0.207,3.44,0.066,0.151
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4pitch_x_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__x__y__x_,6,0.319,2.37,0.082,0.267
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_1pitch_y_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.1__0.1_,z_y__y__z__x__y_,6,0.201,1.85,0.064,0.26
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_z_0_4pitch_y_0_4roll_y_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4__0.4_,z_y__y__z__y__y_,6,0.193,2.1,0.058,0.23
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4__0.1_,z_y__y__y__y__x_,6,0.205,2.06,0.063,0.264
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1pitch_y_0_4roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.4__0.4_,z_y__y__y__y__x_,6,0.151,1.8,0.047,0.261
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4roll_y_0_1,roll_roll__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.4__0.1_,z_y__y__y__y__y_,6,0.178,1.86,0.06,0.246
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4pitch_x_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.4__0.1_,z_y__y__y__y__x_,6,0.189,2.23,0.068,0.249
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4pitch_z_0_1pitch_z_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.4__0.1__0.1_,z_y__y__y__z__z_,6,0.22,2.0,0.068,0.264
