name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pris_z_0_7roll_y_0_7,roll_pris__roll_,0.1_0.7__0.7_,z_z__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1pris_z_0_7roll_y_0_9,roll_pris__roll_,0.1_0.7__0.9_,z_z__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_7pitch_y_0_7,roll_roll__pitch_,0.1_0.7__0.7_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_7pitch_y_0_5,roll_roll__pitch_,0.1_0.7__0.5_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_7pitch_y_0_3,roll_roll__pitch_,0.1_0.7__0.3_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_5pitch_y_0_9,roll_roll__pitch_,0.1_0.5__0.9_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_5pitch_y_0_7,roll_roll__pitch_,0.1_0.5__0.7_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_5pitch_y_0_5,roll_roll__pitch_,0.1_0.5__0.5_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_3pitch_y_0_9,roll_roll__pitch_,0.1_0.3__0.9_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_3pitch_y_0_7,roll_roll__pitch_,0.1_0.3__0.7_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1roll_y_0_1pitch_y_0_9,roll_roll__pitch_,0.1_0.1__0.9_,z_y__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1pris_z_0_9pris_y_0_9,roll_pris__pris_,0.1_0.9__0.9_,z_z__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1pris_z_0_9pris_y_0_7,roll_pris__pris_,0.1_0.9__0.7_,z_z__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1pris_z_0_9pris_y_0_5,roll_pris__pris_,0.1_0.9__0.5_,z_z__y_,3,-1.0,10.0,15.0,-1.0
roll_z_0_1pris_z_0_9pris_y_0_3,roll_pris__pris_,0.1_0.9__0.3_,z_z__y_,3,-1.0,10.0,15.0,-1.0
