name,joints,link_length,prev_axe,dof,mu,time,LCI,Z
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.462,2.68,4.336,0.008
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.473,2.38,4.932,0.011
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.465,2.3,4.769,0.025
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.448,2.56,4.826,0.016
roll_z_0_1pitch_y_0_4pitch_y_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.426,2.24,4.48,0.027
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__x_,4,0.46,2.66,4.565,0.021
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__x_,4,0.472,2.26,4.9,0.022
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__z_,4,0.476,2.11,4.924,0.015
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.418,3.18,4.665,0.017
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.446,2.18,4.813,0.005
roll_z_0_1pitch_y_0_4roll_x_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.465,2.1,4.921,0.005
roll_z_0_1pitch_y_0_4roll_x_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.464,2.29,4.779,0.019
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.473,2.17,4.693,0.011
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.422,2.78,4.397,0.007
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.418,2.5,4.676,0.01
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.425,3.1,4.392,0.009
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.475,2.55,4.644,0.008
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.468,2.34,4.575,0.006
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.448,2.21,4.869,0.016
roll_z_0_1pitch_y_0_4roll_z_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.442,2.41,4.742,0.006
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.423,2.56,4.642,0.012
roll_z_0_1pitch_y_0_4roll_y_0_4roll_y_0_4,roll_pitch__roll__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.471,2.81,4.907,0.011
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_4,roll_roll__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.469,2.55,4.373,0.008
roll_z_0_1roll_y_0_4roll_y_0_4roll_y_0_4,roll_roll__roll__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.479,2.0,4.894,0.005
roll_z_0_1roll_y_0_4pitch_y_0_4roll_z_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.461,2.48,3.458,0.017
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.481,2.72,4.769,0.02
roll_z_0_1roll_y_0_4pitch_y_0_4roll_y_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.434,2.36,4.201,0.03
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.421,2.72,4.289,0.008
roll_z_0_1pitch_y_0_4pitch_x_0_4roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__x__z_,4,0.428,2.76,4.341,0.022
roll_z_0_1pitch_y_0_4pitch_z_0_4pris_x_0_4,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.44,2.97,4.77,0.013
roll_z_0_1roll_y_0_4pitch_y_0_4pris_x_0_4,roll_roll__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.475,1.8,1.489,0.052
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.344,2.56,4.892,0.017
roll_z_0_1pris_y_0_4pitch_y_0_4pitch_y_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.36,2.06,4.419,0.026
roll_z_0_1pris_y_0_4roll_y_0_4pitch_y_0_4,roll_pris__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.304,2.02,4.434,0.038
roll_z_0_1pris_y_0_4pitch_z_0_4roll_z_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.335,1.91,4.249,0.016
roll_z_0_1pris_y_0_4pitch_z_0_4pitch_z_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.217,1.98,4.845,0.011
roll_z_0_1pris_y_0_4pitch_z_0_4roll_y_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.251,2.32,4.583,0.004
roll_z_0_1pitch_y_0_4pitch_x_0_4pris_y_0_4,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__x__y_,4,0.336,2.94,2.044,0.026
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_4,roll_roll__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.476,1.94,4.627,0.02
roll_z_0_1roll_y_0_4pitch_y_0_4roll_x_0_4,roll_roll__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.48,2.75,4.26,0.022
roll_z_0_1pris_y_0_4pitch_z_0_4roll_x_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__z__x_,4,0.273,2.08,3.569,0.027
roll_z_0_1pris_y_0_4pitch_z_0_4pitch_y_0_4,roll_pris__pitch__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.367,2.48,3.165,0.036
roll_z_0_1pitch_y_0_4roll_z_0_4pris_z_0_4,roll_pitch__roll__pris_,0.1_0.4__0.4__0.4_,z_y__z__z_,4,0.474,1.82,2.669,0.046
roll_z_0_1pris_y_0_4pitch_y_0_4roll_z_0_4,roll_pris__pitch__roll_,0.1_0.4__0.4__0.4_,z_y__y__z_,4,0.28,2.24,4.578,0.025
roll_z_0_1pris_y_0_4roll_z_0_4pitch_y_0_4,roll_pris__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__z__y_,4,0.343,2.66,4.264,0.032
roll_z_0_1pitch_y_0_4pitch_y_0_4pris_x_0_4,roll_pitch__pitch__pris_,0.1_0.4__0.4__0.4_,z_y__y__x_,4,0.343,2.9,3.202,0.026
