name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pris_z_1_0pitch_x_0_1,roll_pitch__pris__pitch_,0.1_0.1__1.0__0.1_,z_y__z__x_,4,0.426,2.72,0.574,0.044
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.7_,z_y__y__z_,4,0.317,3.98,4.738,0.023
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__z_,4,0.493,2.92,2.577,0.059
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.1_,z_y__y__z_,4,0.217,2.82,4.816,0.008
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__1.0__1.0_,z_y__y__z_,4,0.198,4.6,3.931,0.006
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.7_,z_y__y__z_,4,0.382,2.68,3.854,0.028
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.4_,z_y__y__z_,4,0.341,2.56,2.608,0.028
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.1_,z_y__y__z_,4,0.42,2.97,4.364,0.046
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__y__z_,4,0.338,2.98,3.969,0.031
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.7_,z_y__y__z_,4,0.345,2.78,4.46,0.023
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.4_,z_y__y__z_,4,0.329,2.16,3.947,0.026
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.1_,z_y__y__z_,4,0.386,2.86,3.966,0.031
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.4__1.0_,z_y__y__z_,4,0.322,3.18,4.097,0.04
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.7_,z_y__y__z_,4,0.361,2.97,3.685,0.003
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.4_,z_y__y__z_,4,0.41,3.12,3.23,0.031
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.1_,z_y__y__z_,4,0.397,2.61,3.882,0.035
