name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_4pitch_y_0_7roll_z_0_1roll_y_0_7,roll_pitch__pitch__roll__roll_,0.1_0.4__0.7__0.1__0.7_,z_y__y__z__y_,5,0.027,4.21,0.001,,1
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_1roll_x_0_7,roll_roll__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.7_,z_y__y__y__x_,5,0.001,2.69,0.001,,1
roll_z_0_1pitch_y_0_7pitch_y_0_1roll_z_0_7roll_y_0_1,roll_pitch__pitch__roll__roll_,0.1_0.7__0.1__0.7__0.1_,z_y__y__z__y_,5,0.0,3.39,0.002,,1
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_z_0_4roll_x_0_1,roll_roll__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.1_,z_y__y__z__x_,5,0.0,3.21,0.002,,1
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_4pitch_z_0_7,roll_roll__roll__pitch__pitch_,0.1_0.1__0.4__0.4__0.7_,z_y__y__y__z_,5,0.003,3.22,0.002,,1
roll_z_0_1roll_y_0_1roll_y_0_7pitch_y_0_4pitch_z_0_4,roll_roll__roll__pitch__pitch_,0.1_0.1__0.7__0.4__0.4_,z_y__y__y__z_,5,0.042,3.51,0.002,,1
roll_z_0_1pitch_y_0_7pitch_x_0_4roll_z_0_1roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.4_,z_y__x__z__y_,5,0.001,3.68,0.003,,1
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_7roll_y_0_4,roll_pitch__roll__pitch__roll_,0.1_0.1__0.4__0.7__0.4_,z_y__z__y__y_,5,0.005,2.57,0.003,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1roll_x_0_7,roll_roll__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.7_,z_y__y__x__x_,5,0.004,2.95,0.003,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_4pitch_y_0_7,roll_roll__roll__pitch__pitch_,0.1_0.7__0.1__0.4__0.7_,z_y__y__y__y_,5,0.001,3.35,0.003,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_7pitch_y_0_1,roll_roll__roll__pitch__pitch_,0.1_0.7__0.1__0.7__0.1_,z_y__y__y__y_,5,0.002,3.14,0.003,,1
roll_z_0_1pitch_y_0_4pitch_z_0_1roll_z_0_7roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.4__0.1__0.7__0.4_,z_y__z__z__y_,5,0.001,3.54,0.004,,1
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_1roll_x_0_7,roll_pitch__roll__pitch__roll_,0.1_0.4__0.4__0.1__0.7_,z_y__y__y__x_,5,0.006,3.4,0.004,,1
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_4roll_y_0_1,roll_pitch__roll__pitch__roll_,0.1_0.7__0.4__0.4__0.1_,z_y__z__y__y_,5,0.004,3.99,0.004,,1
roll_z_0_1pitch_y_0_4roll_x_0_1roll_y_0_7pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.4__0.1__0.7__0.4_,z_y__x__y__y_,5,0.015,2.5,0.004,,1
roll_z_0_1pitch_y_0_1pitch_x_0_4roll_z_0_4roll_y_0_7,roll_pitch__pitch__roll__roll_,0.1_0.1__0.4__0.4__0.7_,z_y__x__z__y_,5,0.024,4.22,0.005,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7roll_x_0_4roll_y_0_7,roll_pitch__pitch__roll__roll_,0.1_0.1__0.7__0.4__0.7_,z_y__y__x__y_,5,0.007,3.29,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_1roll_x_0_7roll_y_0_4,roll_pitch__pitch__roll__roll_,0.1_0.7__0.1__0.7__0.4_,z_y__y__x__y_,5,0.048,2.37,0.005,,1
roll_z_0_1pitch_y_0_7roll_z_0_4pitch_y_0_4roll_x_0_4,roll_pitch__roll__pitch__roll_,0.1_0.7__0.4__0.4__0.4_,z_y__z__y__x_,5,0.0,3.35,0.005,,1
roll_z_0_1pitch_y_0_7roll_x_0_4pitch_y_0_4roll_x_0_4,roll_pitch__roll__pitch__roll_,0.1_0.7__0.4__0.4__0.4_,z_y__x__y__x_,5,0.016,2.99,0.005,,1
roll_z_0_1pitch_y_0_1roll_y_0_7roll_y_0_4pitch_y_0_4,roll_pitch__roll__roll__pitch_,0.1_0.1__0.7__0.4__0.4_,z_y__y__y__y_,5,0.007,2.74,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1roll_z_0_4,roll_roll__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.4_,z_y__y__y__z_,5,0.004,3.05,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_7roll_y_0_1,roll_roll__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.1_,z_y__y__z__y_,5,0.048,2.57,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_7roll_x_0_4,roll_roll__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4_,z_y__y__z__x_,5,0.008,3.78,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_z_0_4roll_z_0_1,roll_roll__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.1_,z_y__y__z__z_,5,0.0,3.18,0.005,,1
