name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7pitch_y_0_7pitch_x_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.7__0.7__0.7_,z_y__x__z__y__x_,6,0.124,4.33,0.0,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_4roll_x_0_7pitch_y_0_7,roll_roll__roll__pitch__roll__pitch_,0.1_0.7__0.1__0.4__0.7__0.7_,z_y__y__y__x__y_,6,0.239,2.17,0.0,,1
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_y_0_1pitch_y_0_1roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.1__0.1__0.4_,z_y__z__y__y__z_,6,0.118,2.66,0.001,,1
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_z_0_4pitch_z_0_4roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.4__0.4_,z_y__y__z__z__z_,6,0.072,3.12,0.001,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_4roll_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.4__0.4__0.4_,z_y__y__z__y__y_,6,0.127,3.31,0.001,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7roll_x_0_4pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.7__0.7__0.4__0.7__0.4_,z_y__y__x__y__z_,6,0.316,2.16,0.001,,1
roll_z_0_1pitch_y_0_1roll_z_0_4pitch_y_0_1roll_z_0_4roll_y_0_7,roll_pitch__roll__pitch__roll__roll_,0.1_0.1__0.4__0.1__0.4__0.7_,z_y__z__y__z__y_,6,0.144,3.11,0.001,,1
roll_z_0_1roll_y_0_7pitch_y_0_4pitch_y_0_1pitch_x_0_4roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.4__0.1__0.4__0.1_,z_y__y__y__x__x_,6,0.169,2.48,0.001,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_x_0_7pitch_x_0_1pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.1__0.4_,z_y__z__x__x__y_,6,0.092,2.49,0.002,,1
roll_z_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1pitch_x_0_7pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.1_,z_y__x__y__x__y_,6,0.063,4.39,0.002,,1
roll_z_0_1pitch_y_0_1pitch_x_0_4roll_z_0_1pitch_y_0_7roll_y_0_4,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__x__z__y__y_,6,0.181,2.43,0.003,,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_1roll_x_0_1pitch_y_0_1,roll_pitch__roll__pitch__roll__pitch_,0.1_0.7__0.7__0.1__0.1__0.1_,z_y__y__y__x__y_,6,0.178,2.11,0.003,,1
roll_z_0_1pitch_y_0_7roll_x_0_4roll_y_0_7pitch_y_0_7pitch_y_0_4,roll_pitch__roll__roll__pitch__pitch_,0.1_0.7__0.4__0.7__0.7__0.4_,z_y__x__y__y__y_,6,0.131,3.02,0.003,,1
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_y_0_7pitch_z_0_1pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.1__0.4_,z_y__x__y__z__z_,6,0.235,2.5,0.004,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_z_0_7roll_z_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.7__0.7__0.1_,z_y__z__z__z__y_,6,0.176,2.4,0.004,,1
roll_z_0_1pitch_y_0_1pitch_x_0_1roll_z_0_4pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.1__0.1__0.4__0.7__0.1_,z_y__x__z__y__z_,6,0.167,2.24,0.004,,1
roll_z_0_1pitch_y_0_1pitch_z_0_4roll_z_0_7roll_y_0_4roll_y_0_1,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.4__0.7__0.4__0.1_,z_y__z__z__y__y_,6,0.199,2.31,0.004,,1
roll_z_0_1pitch_y_0_1pitch_x_0_4roll_z_0_7roll_y_0_4roll_y_0_1,roll_pitch__pitch__roll__roll__roll_,0.1_0.1__0.4__0.7__0.4__0.1_,z_y__x__z__y__y_,6,0.215,2.25,0.004,,1
roll_z_0_1pitch_y_0_1roll_y_0_4pitch_y_0_4pitch_x_0_1roll_x_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.1__0.4_,z_y__y__y__x__x_,6,0.154,1.68,0.004,,1
roll_z_0_1pitch_y_0_4roll_z_0_4pitch_y_0_1roll_x_0_4roll_y_0_7,roll_pitch__roll__pitch__roll__roll_,0.1_0.4__0.4__0.1__0.4__0.7_,z_y__z__y__x__y_,6,0.17,2.86,0.004,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_x_0_1pitch_z_0_7pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.1__0.1__0.7__0.7_,z_y__y__x__z__z_,6,0.187,3.08,0.004,,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_1pitch_y_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.1__0.4_,z_y__y__y__x__y_,6,0.09,3.39,0.004,,1
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_7pitch_z_0_4roll_y_0_4,roll_roll__roll__pitch__pitch__roll_,0.1_0.1__0.4__0.7__0.4__0.4_,z_y__y__y__z__y_,6,0.182,2.0,0.004,,1
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_y_0_1pitch_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.1__0.7__0.4_,z_y__z__y__z__y_,6,0.164,2.42,0.005,,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7pitch_z_0_4pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.1__0.7__0.4__0.1_,z_y__x__z__z__z_,6,0.186,2.57,0.005,,1
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_1pitch_z_0_7pitch_y_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.7__0.1_,z_y__z__z__z__y_,6,0.19,2.5,0.005,,1
roll_z_0_1pitch_y_0_4pitch_z_0_4pitch_z_0_7pitch_z_0_4pitch_z_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.7__0.4__0.1_,z_y__z__z__z__z_,6,0.161,2.48,0.005,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1pitch_y_0_7pitch_z_0_4pitch_z_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.7__0.4__0.4_,z_y__z__y__z__z_,6,0.165,2.59,0.005,,1
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_x_0_4pitch_x_0_1pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.4__0.4__0.1__0.4_,z_y__x__x__x__y_,6,0.188,2.57,0.005,,1
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_y_0_1pitch_y_0_4roll_z_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.1__0.4__0.1_,z_y__z__y__y__z_,6,0.178,1.88,0.005,,1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_4pitch_x_0_1roll_y_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.4__0.4__0.1__0.4_,z_y__y__z__x__y_,6,0.157,1.92,0.005,,1
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_y_0_1pitch_z_0_7roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.7__0.1_,z_y__x__y__z__y_,6,0.172,2.53,0.005,,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_y_0_1pitch_x_0_7roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.1_,z_y__x__y__x__x_,6,0.161,2.69,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_1pitch_y_0_7roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.4_,z_y__y__x__y__z_,6,0.189,2.45,0.005,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4pitch_y_0_4roll_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.4__0.7__0.4_,z_y__z__y__z__y_,6,0.166,2.38,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_x_0_7roll_z_0_4pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.4__0.7__0.4__0.7_,z_y__y__x__z__y_,6,0.173,2.31,0.005,,1
roll_z_0_1pitch_y_0_4pitch_y_0_1pitch_x_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.1__0.1__0.7__0.4_,z_y__y__x__y__y_,6,0.212,3.21,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_4roll_z_0_1roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.1__0.7_,z_y__y__x__z__y_,6,0.176,2.41,0.005,,1
roll_z_0_1pitch_y_0_1pitch_z_0_1roll_z_0_7pitch_y_0_7pitch_z_0_1,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.1__0.1__0.7__0.7__0.1_,z_y__z__z__y__z_,6,0.192,2.36,0.005,,1
roll_z_0_1pitch_y_0_1pitch_x_0_1roll_y_0_1pitch_y_0_7roll_z_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.7_,z_y__x__y__y__z_,6,0.184,2.86,0.005,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7roll_z_0_1pitch_y_0_1roll_x_0_4,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.7__0.1__0.1__0.4_,z_y__y__z__y__x_,6,0.169,2.31,0.005,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_z_0_4roll_y_0_4pitch_y_0_7,roll_pitch__pitch__roll__roll__pitch_,0.1_0.7__0.4__0.4__0.4__0.7_,z_y__z__z__y__y_,6,0.185,2.52,0.005,,1
roll_z_0_1pitch_y_0_7pitch_z_0_7roll_x_0_7roll_y_0_4roll_y_0_4,roll_pitch__pitch__roll__roll__roll_,0.1_0.7__0.7__0.7__0.4__0.4_,z_y__z__x__y__y_,6,0.161,2.48,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_z_0_4pitch_z_0_4pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.4__0.7_,z_y__y__z__z__z_,6,0.148,2.49,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_7pitch_z_0_1pitch_y_0_7roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.1__0.7__0.7_,z_y__y__z__y__z_,6,0.205,2.45,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_x_0_4roll_y_0_4roll_y_0_1,roll_roll__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.4__0.1_,z_y__y__x__y__y_,6,0.189,2.41,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_x_0_1roll_y_0_7pitch_y_0_1,roll_roll__pitch__roll__roll__pitch_,0.1_0.4__0.1__0.1__0.7__0.1_,z_y__y__x__y__y_,6,0.197,2.05,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_1pitch_y_0_4,roll_roll__pitch__roll__roll__pitch_,0.1_0.4__0.1__0.4__0.1__0.4_,z_y__y__z__y__y_,6,0.193,2.34,0.005,,1
roll_z_0_1roll_y_0_7roll_y_0_4pitch_y_0_4roll_z_0_7pitch_y_0_7,roll_roll__roll__pitch__roll__pitch_,0.1_0.7__0.4__0.4__0.7__0.7_,z_y__y__y__z__y_,6,0.168,2.14,0.005,,1
roll_z_0_1pitch_y_0_1pitch_z_0_4pitch_y_0_7pitch_x_0_4pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.7__0.4__0.4_,z_y__z__y__x__y_,6,0.193,2.29,0.006,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_7pitch_z_0_1pitch_y_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.7__0.1__0.4_,z_y__y__x__z__y_,6,0.163,2.33,0.006,,1
roll_z_0_1pitch_y_0_1pitch_z_0_7pitch_z_0_7pitch_z_0_4pitch_y_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.7__0.4__0.7_,z_y__z__z__z__y_,6,0.184,2.52,0.006,,1
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_1pitch_z_0_4pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.4__0.4_,z_y__z__z__z__x_,6,0.201,2.49,0.006,,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_y_0_1pitch_z_0_1roll_x_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.1__0.4_,z_y__x__y__z__x_,6,0.189,2.16,0.005,,1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_1roll_x_0_1pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.4__0.1__0.1__0.4_,z_y__y__z__x__y_,6,0.179,1.82,0.006,,1
roll_z_0_1pitch_y_0_7pitch_x_0_7pitch_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.7__0.7__0.4__0.4__0.4_,z_y__x__y__y__y_,6,0.189,2.33,0.006,,1
