name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_y_0_1pitch_x_0_4roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__z__y__x__x_,6,0.115,3.52,0.0,,1
roll_z_0_1pitch_y_0_1pitch_x_0_7pitch_x_0_1roll_y_0_4pitch_y_0_7,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.1__0.7__0.1__0.4__0.7_,z_y__x__x__y__y_,6,0.117,2.81,0.003,,1
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_z_0_1roll_x_0_7roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.1__0.1__0.7__0.7_,z_y__z__z__x__y_,6,0.212,2.37,0.0,,1
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_z_0_4roll_z_0_7pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.7__0.4__0.7__0.1_,z_y__x__z__z__y_,6,0.09,3.4,0.001,,1
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_y_0_1roll_x_0_7roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.1__0.1__0.7__0.7_,z_y__z__y__x__y_,6,0.093,3.26,0.001,,1
roll_z_0_1pitch_y_0_7pitch_x_0_1pitch_x_0_7roll_y_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.1__0.7__0.4__0.7_,z_y__x__x__y__y_,6,0.055,3.81,0.001,,1
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_x_0_1roll_x_0_4roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.7__0.1__0.4__0.7_,z_y__z__x__x__y_,6,0.126,2.91,0.001,,1
roll_z_0_1pitch_y_0_7pitch_z_0_1roll_x_0_7pitch_y_0_4roll_z_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.1__0.7__0.4__0.7_,z_y__z__x__y__z_,6,0.069,3.61,0.001,,1
roll_z_0_1pitch_y_0_4roll_y_0_1pitch_y_0_7pitch_z_0_4pitch_y_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.1__0.7__0.4__0.7_,z_y__y__y__z__y_,6,0.149,2.75,0.001,,1
roll_z_0_1pitch_y_0_7roll_y_0_1pitch_y_0_1pitch_x_0_4pitch_y_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__x__y_,6,0.379,2.78,0.001,,1
roll_z_0_1pitch_y_0_7roll_z_0_7pitch_y_0_4pitch_x_0_1roll_x_0_7,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.7__0.4__0.1__0.7_,z_y__z__y__x__x_,6,0.126,2.66,0.001,,1
roll_z_0_1pitch_y_0_7roll_y_0_1roll_y_0_7pitch_y_0_7pitch_x_0_4,roll_pitch__roll__roll__pitch__pitch_,0.1_0.7__0.1__0.7__0.7__0.4_,z_y__y__y__y__x_,6,0.039,3.1,0.001,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_x_0_4pitch_x_0_4pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.4__0.4__0.7_,z_y__y__x__x__z_,6,0.135,2.93,0.001,,1
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_x_0_1pitch_y_0_4pitch_x_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__y__x__y__x_,6,0.096,3.36,0.001,,1
roll_z_0_1pitch_y_0_4pitch_x_0_7pitch_x_0_4roll_z_0_7roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.7__0.7_,z_y__x__x__z__y_,6,0.253,2.76,0.002,,1
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_y_0_4pitch_y_0_7roll_y_0_7,roll_pitch__pitch__roll__pitch__roll_,0.1_0.7__0.4__0.4__0.7__0.7_,z_y__z__y__y__y_,6,0.036,2.81,0.002,,1
roll_z_0_1pitch_y_0_1roll_y_0_1pitch_y_0_4pitch_z_0_7pitch_z_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__y__y__z__z_,6,0.253,2.56,0.002,,1
roll_z_0_1pitch_y_0_4roll_x_0_7pitch_y_0_4pitch_x_0_1pitch_y_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__x__y__x__y_,6,0.2,2.81,0.002,,1
roll_z_0_1pitch_y_0_7roll_y_0_1pitch_y_0_1pitch_x_0_4pitch_z_0_7,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__x__z_,6,0.126,3.98,0.002,,1
roll_z_0_1roll_y_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_7pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.1__0.4__0.4__0.7__0.7_,z_y__y__x__y__z_,6,0.241,2.61,0.002,,1
