#long_link,long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,total,simulated,left,1702863,126348,1576515
2,0.7,6,0,3,0,3.1}",1110,52,1058,,,
4,0.7,5,0,2,0,3.1}",29,25,4,,,
3,0.7,5,2,3,0,2.6}",112,37,75,,,
2,0.7,4,0,2,0.33,2}",144,144,0,,,
3,0.7,5,0,2,0,2.6}",232,51,181,,,
1,0.7,6,4,5,0,2}",66,25,41,,,
1,0.7,6,0,0,0.2,2.6}",450,35,415,,,
0,0.4,6,2,2,1,2.6}",45,29,16,,,
5,0.7,6,2,2,0.2,3.6}",86,25,61,,,
3,0.7,6,4,4,0,2.6}",40,25,15,,,
0,0.4,5,0,4,0,2}",16,16,0,,,
0,0.4,6,5,5,0,2}",6,6,0,,,
2,0.7,5,0,1,0,2.6}",60,29,31,,,
2,0.7,6,0,0,0.5,3.1}",990,58,932,,,
2,0.7,4,0,1,1,2}",162,162,0,,,
2,0.7,5,0,2,0,2.6}",174,48,126,,,
0,0.4,5,3,3,0.25,2}",9,7,2,,,
1,0.7,6,0,1,0.5,2.6}",15925,772,15153,,,
2,0.7,6,2,3,0.5,2.6}",8640,421,8219,,,
4,0.7,6,2,2,0.2,3.1}",430,31,399,,,
3,0.7,6,2,3,0,3.1}",1320,58,1262,,,
1,0.7,5,0,0,1.5,2}",608,87,521,,,
0,0.4,5,3,3,0,2}",4,4,0,,,
2,0.7,4,0,3,0,2}",36,36,0,,,
2,0.7,6,0,1,0,2}",130,26,104,,,
0,0.4,5,2,3,0.25,1.5}",280,240,40,,,
5,0.7,6,2,5,0,3.6}",26,25,1,,,
4,0.7,6,0,2,0.2,3.6}",2540,124,2416,,,
2,0.7,5,0,1,0.25,2}",1674,244,1430,,,
1,0.7,5,0,2,0,1.5}",464,73,391,,,
2,0.7,5,4,4,0,2.6}",6,6,0,,,
0,0.4,6,5,5,0,1.5}",19,19,0,,,
4,0.7,6,0,5,0,3.1}",220,28,192,,,
2,0.7,4,0,0,3,2}",18,18,0,,,
1,0.7,6,2,2,1,1.5}",990,46,944,,,
3,0.7,4,3,3,0,2.6}",1,1,0,,,
2,0.7,5,2,2,0.67,2}",432,69,363,,,
0,0.4,6,0,1,0,2}",78,44,34,,,
4,0.7,6,0,0,0.2,3.1}",90,26,64,,,
3,0.7,6,2,4,0.2,2.6}",1140,66,1074,,,
0,0.4,6,0,0,0.2,1.5}",342,109,233,,,
1,0.7,4,0,2,0,2}",33,33,0,,,
0,0.4,6,4,5,0,2.6}",2,2,0,,,
2,0.7,6,0,2,0,2.6}",3360,163,3197,,,
2,0.7,5,0,2,0,2}",522,82,440,,,
3,0.7,6,0,4,0.2,3.1}",8520,428,8092,,,
0,0.4,6,2,4,0,2}",354,36,318,,,
2,0.7,6,0,1,0.5,3.1}",6370,312,6058,,,
1,0.7,4,2,3,0,1.5}",12,12,0,,,
5,0.7,6,4,5,0,3.6}",2,2,0,,,
3,0.7,6,2,5,0,2.6}",260,26,234,,,
1,0.7,6,0,1,0.5,2}",21021,988,20033,,,
0,0.4,6,3,3,0.5,1.5}",494,61,433,,,
1,0.7,5,3,4,0,1.5}",32,27,5,,,
1,0.7,5,0,0,0.67,2}",816,124,692,,,
5,0.7,6,2,3,0.2,3.6}",194,28,166,,,
3,0.7,5,2,2,0.25,2.6}",320,49,271,,,
2,0.7,6,0,3,0,2}",1110,53,1057,,,
2,0.7,6,4,4,0.2,2}",80,25,55,,,
1,0.7,5,0,1,1.5,2}",1056,161,895,,,
0,0.4,6,0,3,0.2,1.5}",12008,1301,10707,,,
0,0.4,5,0,1,0.25,1.5}",930,926,4,,,
2,0.7,6,0,2,1,3.1}",5400,271,5129,,,
2,0.7,6,3,5,0,2}",80,26,54,,,
4,0.7,6,0,1,0,3.1}",65,25,40,,,
2,0.7,5,0,0,0.67,2.6}",306,60,246,,,
0,0.4,6,0,3,0.5,2.6}",640,76,564,,,
3,0.7,6,0,4,0,3.1}",3360,164,3196,,,
3,0.7,6,3,4,0,2.6}",140,30,110,,,
3,0.7,4,0,0,1,2.6}",19,19,0,,,
5,0.7,6,0,0,0.5,3.6}",99,27,72,,,
0,0.4,5,2,2,0,1.5}",70,69,1,,,
3,0.7,5,2,3,0.25,2.6}",224,41,183,,,
2,0.7,5,2,2,0,2}",126,36,90,,,
2,0.7,5,0,2,0.67,2.6}",828,126,702,,,
