'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
2,0.7,6,0,3,0, 3.1}",1110,52,1058
4,0.7,5,0,2,0, 3.1}",29,29,0
3,0.7,5,2,3,0, 2.6}",112,112,0
2,0.7,4,0,2,0.33, 2}",144,144,0
3,0.7,5,0,2,0, 2.6}",232,232,0
1,0.7,6,4,5,0, 2}",66,66,0
1,0.7,6,0,0,0.2, 2.6}",450,449,1
0,0.4,6,2,2,1, 2.6}",45,45,0
5,0.7,6,2,2,0.2, 3.6}",86,86,0
3,0.7,6,4,4,0, 2.6}",40,40,0
0,0.4,5,0,4,0, 2}",16,16,0
0,0.4,6,5,5,0, 2}",6,6,0
2,0.7,5,0,1,0, 2.6}",60,60,0
2,0.7,6,0,0,0.5, 3.1}",990,58,932
2,0.7,4,0,1,1, 2}",162,162,0
2,0.7,5,0,2,0, 2.6}",174,174,0
0,0.4,5,3,3,0.25, 2}",9,7,2
1,0.7,6,0,1,0.5, 2.6}",15925,772,15153
2,0.7,6,2,3,0.5, 2.6}",8640,421,8219
4,0.7,6,2,2,0.2, 3.1}",430,430,0
3,0.7,6,2,3,0, 3.1}",1320,58,1262
1,0.7,5,0,0,1.5, 2}",608,608,0
0,0.4,5,3,3,0, 2}",4,4,0
2,0.7,4,0,3,0, 2}",36,36,0
2,0.7,6,0,1,0, 2}",130,130,0
0,0.4,5,2,3,0.25, 1.5}",280,240,40
5,0.7,6,2,5,0, 3.6}",26,26,0
4,0.7,6,0,2,0.2, 3.6}",2540,124,2416
2,0.7,5,0,1,0.25, 2}",1674,1674,0
1,0.7,5,0,2,0, 1.5}",464,464,0
2,0.7,5,4,4,0, 2.6}",6,6,0
0,0.4,6,5,5,0, 1.5}",19,19,0
4,0.7,6,0,5,0, 3.1}",220,220,0
2,0.7,4,0,0,3, 2}",18,18,0
1,0.7,6,2,2,1, 1.5}",990,46,944
3,0.7,4,3,3,0, 2.6}",1,1,0
2,0.7,5,2,2,0.67, 2}",432,360,72
0,0.4,6,0,1,0, 2}",78,78,0
4,0.7,6,0,0,0.2, 3.1}",90,90,0
3,0.7,6,2,4,0.2, 2.6}",1140,66,1074
0,0.4,6,0,0,0.2, 1.5}",342,342,0
1,0.7,4,0,2,0, 2}",33,33,0
0,0.4,6,4,5,0, 2.6}",2,2,0
2,0.7,6,0,2,0, 2.6}",3360,163,3197
2,0.7,5,0,2,0, 2}",522,522,0
3,0.7,6,0,4,0.2, 3.1}",8520,428,8092
0,0.4,6,2,4,0, 2}",354,353,1
2,0.7,6,0,1,0.5, 3.1}",6370,312,6058
1,0.7,4,2,3,0, 1.5}",12,12,0
5,0.7,6,4,5,0, 3.6}",2,2,0
3,0.7,6,2,5,0, 2.6}",260,260,0
1,0.7,6,0,1,0.5, 2}",21021,988,20033
0,0.4,6,3,3,0.5, 1.5}",494,494,0
1,0.7,5,3,4,0, 1.5}",32,32,0
1,0.7,5,0,0,0.67, 2}",816,816,0
5,0.7,6,2,3,0.2, 3.6}",194,194,0
3,0.7,5,2,2,0.25, 2.6}",320,272,48
2,0.7,6,0,3,0, 2}",1110,53,1057
2,0.7,6,4,4,0.2, 2}",80,80,0
1,0.7,5,0,1,1.5, 2}",1056,1056,0
0,0.4,6,0,3,0.2, 1.5}",12008,1301,10707
0,0.4,5,0,1,0.25, 1.5}",930,930,0
2,0.7,6,0,2,1, 3.1}",5400,271,5129
2,0.7,6,3,5,0, 2}",80,80,0
4,0.7,6,0,1,0, 3.1}",65,65,0
2,0.7,5,0,0,0.67, 2.6}",306,306,0
0,0.4,6,0,3,0.5, 2.6}",640,76,564
3,0.7,6,0,4,0, 3.1}",3360,164,3196
3,0.7,6,3,4,0, 2.6}",140,140,0
3,0.7,4,0,0,1, 2.6}",19,19,0
5,0.7,6,0,0,0.5, 3.6}",99,99,0
0,0.4,5,2,2,0, 1.5}",70,70,0
3,0.7,5,2,3,0.25, 2.6}",224,192,32
2,0.7,5,2,2,0, 2}",126,126,0
2,0.7,5,0,2,0.67, 2.6}",828,828,0
0,0.4,5,0,2,0.25, 2}",152,152,0
0,0.4,6,2,3,0, 1.5}",836,109,727
1,0.7,6,4,4,0.2, 2.6}",200,200,0
1,0.7,5,0,2,0.25, 1.5}",2432,2432,0
3,0.7,6,3,4,0.2, 2.6}",260,260,0
4,0.7,5,3,4,0, 3.1}",2,2,0
1,0.7,6,0,4,0, 2.6}",2800,131,2669
3,0.7,5,0,0,0, 2.6}",8,8,0
1,0.7,4,0,0,1, 1.5}",114,114,0
4,0.7,5,0,1,0.67, 3.1}",192,192,0
2,0.7,6,3,4,0.2, 2}",260,260,0
3,0.7,6,0,2,1, 3.1}",16200,807,15393
2,0.7,4,0,0,0, 2}",6,6,0
1,0.7,6,0,5,0, 2}",1452,65,1387
2,0.7,6,0,4,0.2, 2}",2840,124,2716
3,0.7,6,2,3,0.2, 3.1}",5820,294,5526
1,0.7,6,2,3,0.2, 1.5}",4268,196,4072
3,0.7,4,0,1,0.33, 2.6}",38,38,0
4,0.7,6,3,5,0, 3.6}",40,40,0
1,0.7,6,0,3,0, 2}",3663,181,3482
1,0.7,6,0,1,0, 2}",429,429,0
4,0.7,6,0,0,0.5, 3.6}",495,495,0
4,0.7,6,3,3,0.2, 3.1}",190,190,0
4,0.7,6,3,4,0, 3.1}",70,70,0
1,0.7,6,2,4,0, 1.5}",1298,65,1233
2,0.7,6,2,3,0.2, 2.6}",11640,548,11092
3,0.7,5,2,4,0, 2.6}",64,64,0
1,0.7,6,5,5,0, 1.5}",22,22,0
4,0.7,6,0,0,1, 3.6}",845,37,808
0,0.4,6,0,4,0.2, 2.6}",284,284,0
0,0.4,6,4,5,0, 1.5}",38,38,0
2,0.7,6,0,0,0.5, 2.6}",5940,292,5648
4,0.7,6,0,0,0, 3.6}",5,5,0
1,0.7,6,2,2,0, 2}",330,330,0
1,0.7,6,2,5,0, 1.5}",572,34,538
1,0.7,4,0,3,0, 2}",18,18,0
1,0.7,6,4,4,0, 2}",132,132,0
2,0.7,6,0,2,0, 2}",560,30,530
0,0.4,6,2,2,0, 2.6}",10,10,0
3,0.7,5,0,0,1.5, 2.6}",304,304,0
4,0.7,5,0,1,0.25, 3.1}",93,93,0
2,0.7,5,3,3,0.25, 2.6}",54,42,12
0,0.4,6,3,3,0, 2.6}",7,7,0
1,0.7,4,2,2,0.33, 1.5}",36,36,0
1,0.7,4,0,2,0.33, 1.5}",144,144,0
4,0.7,6,0,2,0, 3.1}",280,280,0
2,0.7,5,2,2,0, 2.6}",42,42,0
0,0.4,6,2,3,0, 2}",264,264,0
0,0.4,6,2,4,0.2, 1.5}",2166,157,2009
3,0.7,4,0,2,0.33, 2.6}",24,24,0
2,0.7,4,0,0,1, 2}",114,114,0
1,0.7,6,2,3,0.5, 2}",4752,237,4515
2,0.7,6,0,0,0.2, 2.6}",1080,52,1028
1,0.7,4,2,3,0, 2}",6,6,0
4,0.7,6,4,4,0.2, 3.1}",40,40,0
2,0.7,5,3,3,0, 2.6}",24,24,0
2,0.7,6,0,1,0.5, 2.6}",38220,1857,36363
0,0.4,6,3,3,0.5, 2}",156,156,0
0,0.4,6,0,1,0.5, 1.5}",12103,2402,9701
