name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1roll_y_1_0pitch_y_0_4roll_x_1_0,roll_roll__pitch__roll_,0.1_1.0__0.4__1.0_,z_y__y__x_,4,0.003,3.67,0.341,0.004,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_0.7__0.7__0.4_,z_y__y__x_,4,0.068,2.83,0.382,0.089,1
roll_z_0_1pitch_y_1_0pitch_y_0_4roll_x_0_7,roll_pitch__pitch__roll_,0.1_1.0__0.4__0.7_,z_y__y__x_,4,0.004,3.01,0.43,0.004,1
roll_z_0_1pitch_y_0_7pitch_y_0_4pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__0.4__0.7_,z_y__y__z_,4,0.07,2.97,0.261,0.087,1
roll_z_0_1pitch_y_0_4roll_y_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_0.4__0.4__0.4_,z_y__y__y_,4,0.076,2.56,0.27,0.089,1
roll_z_0_1roll_y_0_7pitch_y_1_0pitch_z_0_1,roll_roll__pitch__pitch_,0.1_0.7__1.0__0.1_,z_y__y__z_,4,0.004,3.86,0.341,0.005,1
roll_z_0_1pitch_y_1_0pitch_x_0_1roll_x_0_7,roll_pitch__pitch__roll_,0.1_1.0__0.1__0.7_,z_y__x__x_,4,0.004,3.82,0.38,0.005,1
roll_z_0_1pitch_y_0_4pitch_z_0_4roll_y_0_7,roll_pitch__pitch__roll_,0.1_0.4__0.4__0.7_,z_y__z__y_,4,0.074,2.73,0.2,0.081,1
roll_z_0_1pris_y_1_0pitch_x_1_0pitch_z_1_0,roll_pris__pitch__pitch_,0.1_1.0__1.0__1.0_,z_y__x__z_,4,0.011,2.57,0.155,0.007,1
roll_z_0_1pitch_y_1_0pitch_y_1_0pitch_y_0_1,roll_pitch__pitch__pitch_,0.1_1.0__1.0__0.1_,z_y__y__y_,4,0.01,2.86,0.39,0.007,1
roll_z_0_1roll_y_1_0pitch_y_0_7pitch_x_0_4,roll_roll__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__y__x_,4,0.006,2.25,0.398,0.007,1
roll_z_0_1pitch_y_0_4pitch_z_0_1pris_z_1_0,roll_pitch__pitch__pris_,0.1_0.4__0.1__1.0_,z_y__z__z_,4,0.006,2.21,0.427,0.007,1
roll_z_0_1pitch_y_0_1pris_y_1_0roll_x_0_4,roll_pitch__pris__roll_,0.1_0.1__1.0__0.4_,z_y__y__x_,4,0.013,2.22,0.483,0.007,1
roll_z_0_1pris_y_0_4pitch_z_0_7roll_x_1_0,roll_pris__pitch__roll_,0.1_0.4__0.7__1.0_,z_y__z__x_,4,0.007,2.78,0.371,0.008,1
roll_z_0_1roll_y_0_7pitch_y_1_0roll_z_1_0,roll_roll__pitch__roll_,0.1_0.7__1.0__1.0_,z_y__y__z_,4,0.008,4.73,0.399,0.008,1
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_x_0_1,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.1_,z_y__y__x_,4,0.01,3.12,0.463,0.008,1
roll_z_0_1pitch_y_0_4pitch_x_0_7roll_z_1_0,roll_pitch__pitch__roll_,0.1_0.4__0.7__1.0_,z_y__x__z_,4,0.013,3.18,0.485,0.008,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_x_1_0,roll_roll__pitch__pitch_,0.1_1.0__0.1__1.0_,z_y__y__x_,4,0.009,3.41,0.5,0.008,1
roll_z_0_1pitch_y_1_0pitch_z_0_7pitch_x_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__z__x_,4,0.01,4.14,0.37,0.009,1
roll_z_0_1pitch_y_1_0roll_y_0_4pitch_y_0_4,roll_pitch__roll__pitch_,0.1_1.0__0.4__0.4_,z_y__y__y_,4,0.007,2.71,0.381,0.009,1
roll_z_0_1pitch_y_0_1pitch_y_0_4pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.1__0.4__1.0_,z_y__y__z_,4,0.008,2.98,0.402,0.009,1
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.7__0.4__0.4_,z_y__z__x_,4,0.067,2.06,0.361,0.091,1
roll_z_0_1pitch_y_0_4pitch_z_0_7pitch_x_0_7,roll_pitch__pitch__pitch_,0.1_0.4__0.7__0.7_,z_y__z__x_,4,0.109,3.33,0.218,0.083,1
roll_z_0_1roll_y_0_7pitch_y_0_4roll_y_0_4,roll_roll__pitch__roll_,0.1_0.7__0.4__0.4_,z_y__y__y_,4,0.07,2.66,0.395,0.079,1
roll_z_0_1pitch_y_1_0pitch_z_0_4roll_x_0_1,roll_pitch__pitch__roll_,0.1_1.0__0.4__0.1_,z_y__z__x_,4,0.013,3.06,0.372,0.01,1
roll_z_0_1pitch_y_0_7pitch_y_0_4pris_y_0_1,roll_pitch__pitch__pris_,0.1_0.7__0.4__0.1_,z_y__y__y_,4,0.011,1.84,0.379,0.01,1
roll_z_0_1pitch_y_0_7pitch_z_0_4roll_x_0_7,roll_pitch__pitch__roll_,0.1_0.7__0.4__0.7_,z_y__z__x_,4,0.073,2.87,0.382,0.08,1
roll_z_0_1pitch_y_1_0roll_z_0_7pitch_y_0_4,roll_pitch__roll__pitch_,0.1_1.0__0.7__0.4_,z_y__z__y_,4,0.011,3.22,0.391,0.01,1
roll_z_0_1pitch_y_1_0pitch_x_0_4pitch_x_0_7,roll_pitch__pitch__pitch_,0.1_1.0__0.4__0.7_,z_y__x__x_,4,0.017,3.1,0.395,0.01,1
roll_z_0_1pitch_y_0_7pitch_y_1_0pitch_z_1_0,roll_pitch__pitch__pitch_,0.1_0.7__1.0__1.0_,z_y__y__z_,4,0.008,4.6,0.398,0.01,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_z_0_4,roll_roll__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__z_,4,0.013,2.8,0.401,0.01,1
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_0.7__0.7__1.0_,z_y__z__y_,4,0.007,2.92,0.447,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_7pitch_y_1_0,roll_pitch__pitch__pitch_,0.1_1.0__0.7__1.0_,z_y__z__y_,4,0.009,3.19,0.46,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_1roll_x_0_1,roll_pitch__pitch__roll_,0.1_1.0__0.1__0.1_,z_y__z__x_,4,0.007,3.47,0.461,0.01,1
roll_z_0_1pris_y_1_0pitch_z_0_7roll_x_0_1,roll_pris__pitch__roll_,0.1_1.0__0.7__0.1_,z_y__z__x_,4,0.021,2.05,0.468,0.01,1
roll_z_0_1pitch_y_1_0pitch_z_0_7pitch_y_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__z__y_,4,0.009,3.96,0.488,0.01,1
roll_z_0_1pitch_y_0_7roll_y_1_0pitch_y_1_0,roll_pitch__roll__pitch_,0.1_0.7__1.0__1.0_,z_y__y__y_,4,0.009,3.2,0.254,0.011,1
roll_z_0_1pitch_y_0_1pitch_z_1_0roll_x_0_4,roll_pitch__pitch__roll_,0.1_0.1__1.0__0.4_,z_y__z__x_,4,0.01,3.08,0.418,0.011,1
roll_z_0_1pris_z_0_7pitch_y_0_7pitch_x_0_7,roll_pris__pitch__pitch_,0.1_0.7__0.7__0.7_,z_z__y__x_,4,0.007,2.17,0.426,0.011,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_y_1_0,roll_roll__pitch__pitch_,0.1_1.0__0.1__1.0_,z_y__y__y_,4,0.013,3.32,0.434,0.011,1
roll_z_0_1pitch_y_0_7pitch_x_1_0pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.7__1.0__0.7_,z_y__x__z_,4,0.012,4.46,0.436,0.011,1
roll_z_0_1roll_y_1_0pitch_y_0_1pitch_x_0_4,roll_roll__pitch__pitch_,0.1_1.0__0.1__0.4_,z_y__y__x_,4,0.011,2.15,0.441,0.011,1
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_y_1_0,roll_pitch__pitch__roll_,0.1_0.4__0.1__1.0_,z_y__y__y_,4,0.019,2.93,0.458,0.011,1
roll_z_0_1roll_y_1_0pitch_y_1_0pitch_y_0_1,roll_roll__pitch__pitch_,0.1_1.0__1.0__0.1_,z_y__y__y_,4,0.009,2.75,0.459,0.011,1
roll_z_0_1roll_y_0_7roll_y_0_7pris_y_1_0,roll_roll__roll__pris_,0.1_0.7__0.7__1.0_,z_y__y__y_,4,0.005,2.8,0.47,0.011,1
roll_z_0_1pitch_y_1_0pitch_y_0_7pitch_z_0_4,roll_pitch__pitch__pitch_,0.1_1.0__0.7__0.4_,z_y__y__z_,4,0.017,3.1,0.287,0.012,1
roll_z_0_1pitch_y_0_7pris_z_1_0pitch_z_1_0,roll_pitch__pris__pitch_,0.1_0.7__1.0__1.0_,z_y__z__z_,4,0.017,2.68,0.351,0.012,1
roll_z_0_1roll_y_1_0roll_y_0_4pitch_y_0_4,roll_roll__roll__pitch_,0.1_1.0__0.4__0.4_,z_y__y__y_,4,0.024,2.16,0.375,0.012,1
roll_z_0_1pitch_y_0_4pitch_x_0_1pitch_z_0_7,roll_pitch__pitch__pitch_,0.1_0.4__0.1__0.7_,z_y__x__z_,4,0.014,2.84,0.382,0.012,1
roll_z_0_1pitch_y_0_1pitch_y_1_0roll_x_0_7,roll_pitch__pitch__roll_,0.1_0.1__1.0__0.7_,z_y__y__x_,4,0.01,3.07,0.384,0.012,1
roll_z_0_1pitch_y_0_1pitch_y_0_7roll_y_0_4,roll_pitch__pitch__roll_,0.1_0.1__0.7__0.4_,z_y__y__y_,4,0.106,3.12,0.238,0.085,1
roll_z_0_1pitch_y_1_0pitch_x_0_7roll_x_1_0,roll_pitch__pitch__roll_,0.1_1.0__0.7__1.0_,z_y__x__x_,4,0.009,5.1,0.412,0.012,1
roll_z_0_1pitch_y_0_4pitch_z_0_7roll_z_0_4,roll_pitch__pitch__roll_,0.1_0.4__0.7__0.4_,z_y__z__z_,4,0.073,2.67,0.418,0.08,1
roll_z_0_1pris_y_0_4pitch_z_0_4roll_x_0_7,roll_pris__pitch__roll_,0.1_0.4__0.4__0.7_,z_y__z__x_,4,0.018,2.76,0.466,0.012,1
roll_z_0_1pitch_y_0_1pitch_x_1_0roll_x_1_0,roll_pitch__pitch__roll_,0.1_0.1__1.0__1.0_,z_y__x__x_,4,0.01,4.14,0.48,0.012,1
roll_z_0_1pitch_y_0_1pitch_y_1_0pitch_y_0_7,roll_pitch__pitch__pitch_,0.1_0.1__1.0__0.7_,z_y__y__y_,4,0.011,2.88,0.488,0.012,1
roll_z_0_1pitch_y_1_0pitch_y_0_1pitch_z_0_1,roll_pitch__pitch__pitch_,0.1_1.0__0.1__0.1_,z_y__y__z_,4,0.01,2.82,0.488,0.012,1
roll_z_0_1pitch_y_1_0pitch_x_0_7roll_x_0_1,roll_pitch__pitch__roll_,0.1_1.0__0.7__0.1_,z_y__x__x_,4,0.014,2.41,0.342,0.013,1
roll_z_0_1pitch_y_0_7roll_y_0_1roll_y_0_7,roll_pitch__roll__roll_,0.1_0.7__0.1__0.7_,z_y__y__y_,4,0.109,3.71,0.234,0.086,1
roll_z_0_1pris_y_1_0roll_z_0_1pitch_y_1_0,roll_pris__roll__pitch_,0.1_1.0__0.1__1.0_,z_y__z__y_,4,0.021,2.34,0.375,0.013,1
roll_z_0_1pris_y_1_0pitch_x_0_4roll_x_0_7,roll_pris__pitch__roll_,0.1_1.0__0.4__0.7_,z_y__x__x_,4,0.013,1.92,0.382,0.013,1
